,Name,Amplitude,Frequency,FrequencyDerivative,EclipticLatitude,EclipticLongitude,Inclination,ErrorInclination,Polarization,InitialPhase,GalacticLatitude,GalacticLongitude,Period,Mass1,ErrorMass1,Mass2,ErrorMass2,Distance,ErrorDistance
0,HMCnc,4.252225600012621e-23,0.00622027623506547,7.48526873173375e-16,-0.08209991730272184,2.1020513457075882,0.6632251157578452,0.0,0.0,0.0,0.40832326916257733,3.6115155733722584,321.529129,0.55,0.0,0.27,0.0,7500.0,2500.0
1,ZTFJ1539,9.402415441563617e-23,0.004821699107149872,2.53782494976533e-16,1.1547376242549767,3.578406556800828,1.4686945655532282,0.605,0.0,0.0,0.8828206969145198,1.4097827219814119,414.7915404,0.61,0.0195,0.21,0.015,2469.0,1253.0
2,ZTFJ2243,1.2224933711850275e-22,0.0037883459454630852,1.1382056543823663e-16,0.9417777352960829,0.2310539522861829,1.4290755915329567,1.0,0.0,0.0,-0.09511346291668299,1.8177848505616219,527.93489,0.349,0.08349999999999999,0.384,0.094,1756.0,726.0
3,V407Vul,9.381080043639152e-23,0.0035124925221229515,8.282059138166231e-17,0.8165220844186916,5.1485583542879,1.0471975511965976,0.0,0.0,0.0,0.11171154410314905,1.0075454159205384,569.39623,0.8,0.1,0.177,0.071,2089.0,684.0
4,ESCet,9.517180373037876e-23,0.0032247077104776804,5.5367655902272526e-17,-0.35489279276461994,0.4294914200344345,1.0471975511965976,0.0,0.0,0.0,-1.1495296958995294,2.949054911826787,620.21125,0.8,0.1,0.161,0.064,1779.0,234.0
5,SDSSJ0651,1.5772063588131273e-22,0.0026136734170606798,2.6309270824483166e-17,0.10134025796313281,1.7686087257118377,1.5166911199830724,1.3,0.0,0.0,0.2214578474685525,3.2625038281802046,765.206543,0.247,0.0125,0.49,0.02,958.0,370.0
6,ZTFJ0127,1.21831837425027e-22,0.0024310779832743103,2.1902058865912893e-17,0.6982925510738388,0.7534716193995908,1.4398966328953218,0.0,0.0,0.0,-0.1659843025231647,2.242173875488807,822.68031456,0.75,0.06,0.19,0.03,1283.0,603.0
7,ZTFJ0538,1.632259258978156e-22,0.002307861021209347,1.9547193237011714e-17,-0.06033123991104821,1.4804953705328108,1.4910347799787558,0.08,0.0,0.0,-0.10858216875432322,3.2604565569676147,866.60331,0.45,0.05,0.32,0.03,999.0,366.0
8,SDSSJ1351,5.328151919216593e-23,0.002129925452609159,7.681783462488883e-18,0.07805308612247926,3.6369860348541616,1.0471975511965976,0.0,0.0,0.0,0.9271887118294676,5.733443244715664,939.0,0.8,0.1,0.1,0.04,1530.0,755.0
9,AMCVn,2.8010083778078853e-22,0.0019441405644734365,6.061849604020093e-18,0.6534962655570159,2.973723152659526,0.7504915783575616,2.0,0.0,0.0,1.3777314955977877,2.4475502592294838,1028.7322,0.68,0.06,0.125,0.012,302.0,3.0
